k,g11,g12,g22,energy
-3.0,22.036737500622408,325.77569736594177,4826.267226574962,-59.0320242549178
-2.995,22.05674108442595,325.51569836273205,4814.222433749104,-58.81454124425602
-2.99,22.076800802866362,325.25550647015746,4802.1877254333285,-58.59743984011926
-2.985,22.096916924703436,324.9951213090158,4790.16311022758,-58.38072006087145
-2.98,22.11708972053375,324.7345424992182,4778.148596754747,-58.16438192496343
-2.975,22.137319462810506,324.4737696598376,4766.14419366146,-57.9484254509337
-2.97,22.157606425847497,324.21280240892565,4754.149909615495,-57.73285065740874
-2.965,22.177950885854596,323.9516403637905,4742.165753309976,-57.51765756310388
-2.96,22.19835312093642,323.69028314072625,4730.191733459445,-57.30284618682361
-2.955,22.218813411123193,323.4287303552199,4718.227858803037,-57.08841654746258
-2.95,22.239332038380223,323.16698162183286,4706.274138102814,-56.874368664005786
-2.945,22.259909286627618,322.90503655423896,4694.3305801443985,-56.660702555529454
-2.94,22.280545441758804,322.64289476523464,4682.397193737256,-56.447418241201625
-2.935,22.301240791658138,322.3805558667374,4670.473987714699,-56.23451574028277
-2.93,22.321995626218047,322.11801946977334,4658.560970933882,-56.021995072126266
-2.925,22.342810237358666,321.85528518449723,4646.65815227608,-55.809856256179366
-2.92,22.363684919043433,321.59235262015284,4634.7655406462845,-55.598099311983646
-2.915,22.384619967303465,321.3292213851561,4622.883144974458,-55.3867242591755
-2.91,22.40561568025091,321.06589108701564,4611.010974214486,-55.17573111748721
-2.905,22.426672358101538,320.80236133238503,4599.1490373450015,-54.9651199067472
-2.9,22.44779030319123,320.53863172702415,4587.297343368939,-54.75489064688097
-2.895,22.468969819999234,320.2747018758532,4575.4559013144,-54.54504335791167
-2.89,22.490211215164617,320.01057138290525,4563.6247202340055,-54.33557805996074
-2.885,22.51151479750769,319.7462398513517,4551.803809205428,-54.12649477324873
-2.88,22.532880878052627,319.48170688353355,4539.993177331823,-53.917793518095934
-2.875,22.554309770041293,319.21697208087573,4528.192833740812,-53.70947431492292
-2.87,22.575801788962973,318.9520350440085,4516.402787586175,-53.50153718425167
-2.865,22.597357252568397,318.68689537268165,4504.623048046815,-53.29398214670571
-2.86,22.618976480893686,318.42155266579607,4492.853624327185,-53.08680922301142
-2.855,22.6406597962816,318.15600652141205,4481.094525657599,-52.88001843399835
-2.85,22.662407523403385,317.89025653674736,4469.345761294182,-52.673609800600055
-2.845,22.68421998927999,317.62430230817506,4457.60734051901,-52.46758334385497
-2.84,22.706097523306596,317.35814343125514,4445.879272640534,-52.26193908490701
-2.835,22.72804045727164,317.091779500692,4434.1615669931625,-52.05667704500639
-2.83,22.750049125380787,316.8252101103548,4422.45423293757,-51.85179724551036
-2.825,22.772123864284715,316.558434853347,4410.7572798617575,-51.64729970788399
-2.82,22.794265013092364,316.2914533218688,4399.070717179169,-51.443184453700994
-2.815,22.81647291340738,316.02426510740327,4387.394554331451,-51.239451504644315
-2.81,22.838747909337943,315.7568698005236,4375.728800785746,-51.0361008825073
-2.805,22.861090347533704,315.4892669910755,4364.073466037365,-50.833132609194124
-2.8,22.88350057720056,315.22145626804854,4352.428559608046,-50.63054670672066
-2.795,22.90597895013228,314.95343721967475,4340.794091047409,-50.42834319721564
-2.79,22.92852582073314,314.6852094334032,4329.170069932645,-50.226522102920896
-2.785,22.951141546039434,314.41677249585035,4317.556505867936,-50.02508344619273
-2.78,22.973826485751864,314.1481259928977,4305.953408485833,-49.82402724950245
-2.775,22.996581002256363,313.8792695096304,4294.360787446523,-49.62335353543728
-2.77,23.019405460652152,313.61020263036465,4282.778652438221,-49.42306232670121
-2.765,23.042300228780164,313.34092493867774,4271.207013177668,-49.223153646115975
-2.76,23.065265677246018,313.0714360173656,4259.645879409619,-49.02362751662164
-2.755,23.08830217945012,312.80173544848253,4248.095260907464,-48.82448396127789
-2.75,23.111410111614397,312.5318228133402,4236.5551674732405,-48.62572300326455
-2.745,23.134589852810954,312.2616976925206,4225.025608937858,-48.427344665882664
-2.74,23.157841784988214,311.99135966586107,4213.506595161031,-48.22934897255536
-2.735,23.181166293002725,311.72080831249673,4201.99813603182,-48.03173594682875
-2.73,23.204563764644632,311.45004321082706,4190.500241468295,-47.834505612372844
-2.725,23.228034590669896,311.1790639385604,4179.012921418164,-47.63765799298262
-2.72,23.251579164829174,310.90787007270916,4167.536185858758,-47.441193112578716
-2.715,23.2751978838948,310.6364611895611,4156.070044796713,-47.24511099520849
-2.71,23.298891147696615,310.3648368647577,4144.614508269093,-47.04941166504721
-2.705,23.32265935914985,310.09299667326,4133.169586342893,-46.85409514639868
-2.7,23.346502924284053,309.82094018933725,4121.735289115075,-46.65916146369625
-2.695,23.37042225227908,309.54866698662204,4110.3116267131845,-46.464610641504066
-2.69,23.394417755495517,309.2761766381102,4098.898609295546,-46.270442704517954
-2.685,23.418489849505452,309.0034687161403,4087.4962470509067,-46.07665767756623
-2.68,23.442638953124725,308.7305427924037,4076.104550198721,-45.883255585610996
-2.675,23.466865488451443,308.45739843801834,4064.7235289900696,-45.69023645374894
-2.67,23.491169880893587,308.18403522346387,4053.3531937069065,-45.497600307212636
-2.665,23.51555255920562,307.91045271862487,4041.9935546626384,-45.305347171371274
-2.66,23.540013955523136,307.63665049280286,4030.6446222023046,-45.113477071732035
-2.655,23.564554505397187,307.3626281147199,4019.306406702667,-44.9219900339409
-2.65,23.5891746478301,307.0883851525368,4007.978918572496,-44.73088608378392
-2.645,23.613874825310443,306.8139211738537,3996.6621682525847,-44.540165247188256
-2.64,23.638655483850744,306.5392357457374,3985.3561662161183,-44.34982755022316
-2.635,23.663517073021627,306.2643284347055,3974.0609229685333,-44.15987301910125
-2.63,23.688460045992905,305.98919880678176,3962.776449048205,-43.97030168017967
-2.625,23.713484859568272,305.71384642747756,3951.5027550262807,-43.78111355996097
-2.62,23.73859197422604,305.43827086182944,3940.2398515071254,-43.59230868509451
-2.615,23.763781854152512,305.1624716743531,3928.9877491277953,-43.40388708237766
-2.61,23.789054967288592,304.8864484291441,3917.746458559302,-43.21584877875654
-2.605,23.81441178536426,304.6102006898318,3906.5159905060978,-43.02819380132783
-2.6,23.839852783939165,304.3337280195904,3895.296355706111,-42.840922177339564
-2.595,23.865378442447824,304.05702998121785,3884.0875649318623,-42.654033934192334
-2.59,23.89098924423255,303.7801061370432,3872.889628989283,-42.46752909944071
-2.585,23.91668567660009,303.5029560491237,3861.7025587201338,-42.28140770079435
-2.58,23.942468230842024,303.225579278989,3850.5263649988533,-42.09566976611933
-2.575,23.9683374023001,302.9479753879354,3839.361058736198,-41.91031532343936
-2.57,23.99429369039428,302.67014393685326,3828.2066508771627,-41.72534440093682
-2.565,24.020337598675006,302.39208448633605,3817.0631524021987,-41.540757026954694
-2.56,24.046469634864934,302.11379659667034,3805.9305743271966,-41.35655322999717
-2.555,24.072690310903774,301.8352798278441,3794.8089277035156,-41.17273303873137
-2.55,24.099000142996836,301.55653373959564,3783.6982236186027,-40.98929648198852
-2.545,24.12539965165857,301.2775578913967,3772.59847319572,-40.80624358876542
-2.54,24.151889361762592,300.9983518425099,3761.5096875947033,-40.62357438822557
-2.535,24.17846980258583,300.71891515195466,3750.431878011416,-40.44128890970093
-2.53,24.205141507862475,300.43924737860397,3739.365055678998,-40.25938718269287
-2.525,24.23190501582737,300.1593480811289,3728.3092318671233,-40.07786923687391
-2.52,24.258760869268652,299.87921681805636,3717.2644178826476,-39.89673510208902
-2.515,24.285709615579794,299.59885314780826,3706.2306250700685,-39.71598480835698
-2.51,24.312751806807746,299.31825662868675,3695.2078648112943,-39.53561838587192
-2.505,24.33988799970671,299.0374268189213,3684.1961485261845,-39.35563586500484
-2.5,24.367118755789733,298.7563632766767,3673.1954876725654,-39.176037276304996
-2.495,24.394444641383465,298.47506556009574,3662.2058937467295,-38.99682265050137
-2.49,24.421866227680198,298.193533227298,3651.2273782833286,-38.81799201850433
-2.485,24.44938409079693,297.9117658364554,3640.2599528562546,-38.63954541140699
-2.48,24.476998811823876,297.6297629457313,3629.3036290777936,-38.461482860486996
-2.475,24.504710976888717,297.3475241134025,3618.3584186000844,-38.28380439720767
-2.47,24.532521177209038,297.06504889782747,3607.4243331145926,-38.1065100532202
-2.465,24.56043000914863,296.7823368574535,3596.50138435218,-37.92959986036465
-2.46,24.5884380742867,296.4993875509677,3585.589584084765,-37.75307385067203
-2.455,24.61654597946257,296.2162005371488,3574.688944123518,-37.57693205636566
-2.45,24.64475433684785,295.93277537503593,3563.799476320767,-37.40117450986284
-2.445,24.673063764000275,295.64911162386284,3552.9211925690597,-37.22580124377676
-2.44,24.70147488393581,295.3652088432132,3542.054104802988,-37.05081229091786
-2.435,24.72998832517974,295.08106659290536,3531.198224997666,-36.876207684295885
-2.43,24.758604721839244,294.796684433123,3520.3535651701563,-36.701987457121355
-2.425,24.787324713664873,294.51206192440924,3509.5201373792947,-36.52815164280742
-2.42,24.81614894611809,294.22719862771913,3498.697953726197,-36.354700274971684
-2.415,24.84507807043758,293.94209410444506,3487.8870263543986,-36.18163338743772
-2.41,24.874112743706345,293.6567479164434,3477.087367450047,-36.008951014237475
-2.405,24.90325362892335,293.3711596261052,3466.2989892425903,-35.83665318961249
-2.4,24.93250139506555,293.08532879629763,3455.5219040039387,-35.66473994801598
-2.395,24.961856717172907,292.79925499057026,3444.7561240507157,-35.4932113241149
-2.39,24.99132027640919,292.5129377730596,3434.001661742995,-35.32206735279154
-2.385,25.02089276013478,292.22637670852737,3423.2585294845467,-35.15130806914559
-2.38,25.050574861988128,291.9395713624904,3412.5267397242537,-34.98093350849621
-2.375,25.080367281954697,291.65252130118364,3401.8063049554075,-34.810943706383725
-2.37,25.110270726445453,291.3652260916273,3391.0972377163207,-34.64133869857183
-2.365,25.14028590837631,291.0776853017003,3380.3995505910593,-34.47211852104946
-2.36,25.170413547244078,290.7898985001431,3369.713256209145,-34.30328321003301
-2.355,25.200654369206717,290.5018652566174,3359.038367246164,-34.13483280196822
-2.35,25.231009107164372,290.2135851417459,3348.3748964239053,-33.966767333532324
-2.345,25.261478500843214,289.9250577271805,3337.722856510975,-33.79908684163619
-2.34,25.292063296878588,289.6362825856469,3327.082260323054,-33.631791363426416
-2.335,25.322764248897066,289.34725929096237,3316.4531207228806,-33.46488093628749
